date,open,high,low,close,adj_close,volume
"Mar 30, 2021","3,420.00","3,430.00","3,360.00","3,380.00","3,217.75","66,491,800"
"Mar 29, 2021","3,470.00","3,490.00","3,400.00","3,410.00","3,246.31","72,214,100"
"Mar 26, 2021","3,410.00","3,500.00","3,390.00","3,490.00","3,322.47","106,810,400"
"Mar 25, 2021","3,400.00","3,430.00","3,380.00","3,410.00","3,246.31","107,607,200"
"Mar 24, 2021","3,320.00","3,390.00","3,320.00","3,370.00","3,208.23","67,173,200"
"Mar 23, 2021","3,390.00","3,420.00","3,350.00","3,360.00","3,198.71","55,323,200"
"Mar 22, 2021","3,440.00","3,440.00","3,380.00","3,380.00","3,217.75","53,870,300"
"Mar 19, 2021","3,410.00","3,440.00","3,380.00","3,440.00","3,274.87","140,000,000"
"Mar 18, 2021","3,450.00","3,480.00","3,430.00","3,450.00","3,284.39","101,896,400"
"Mar 17, 2021","3,410.00","3,430.00","3,370.00","3,390.00","3,227.27","61,701,400"
"Mar 16, 2021","3,400.00","3,410.00","3,360.00","3,360.00","3,198.71","60,111,200"
"Mar 15, 2021","3,440.00","3,450.00","3,380.00","3,380.00","3,217.75","50,077,300"
"Mar 12, 2021","3,440.00","3,480.00","3,430.00","3,450.00","3,284.39","100,195,200"
"Mar 10, 2021","3,340.00","3,420.00","3,310.00","3,400.00","3,236.79","91,631,900"
"Mar 09, 2021","3,370.00","3,390.00","3,280.00","3,290.00","3,132.07","110,090,800"
"Mar 08, 2021","3,360.00","3,400.00","3,330.00","3,340.00","3,179.67","80,094,900"
"Mar 05, 2021","3,340.00","3,370.00","3,320.00","3,320.00","3,160.63","128,546,000"
"Mar 04, 2021","3,420.00","3,430.00","3,350.00","3,360.00","3,198.71","142,322,100"
"Mar 03, 2021","3,480.00","3,480.00","3,420.00","3,440.00","3,274.87","82,610,700"
"Mar 02, 2021","3,490.00","3,500.00","3,440.00","3,460.00","3,293.91","169,061,400"
"Mar 01, 2021","3,490.00","3,510.00","3,470.00","3,490.00","3,322.47","91,513,500"
"Feb 26, 2021","3,450.00","3,510.00","3,410.00","3,490.00","3,322.47","230,007,700"
"Feb 25, 2021","3,510.00","3,570.00","3,450.00","3,490.00","3,322.47","226,833,000"
"Feb 24, 2021","3,490.00","3,550.00","3,460.00","3,480.00","3,312.95","303,017,100"
